anonymized_latitude,anonymized_longitude,timestamp,species_name
36.291256,-115.24036,2022-12-01 00:10:36.387,"Pine Siskin,Purple Finch"
36.76976,-76.14029,2022-12-01 12:10:05.526,"Pine Siskin,Purple Finch"
42.488693,-82.89861,2022-12-01 12:55:14.516,"Pine Siskin,Purple Finch"
42.214466,-83.44385,2022-12-01 13:14:04.278,"Pine Siskin,Purple Finch"
42.214466,-83.44385,2022-12-01 13:14:05.885,"Pine Siskin,Purple Finch"
42.214466,-83.44385,2022-12-01 13:14:12.139,"Pine Siskin,Purple Finch"
40.407528,-79.799904,2022-12-01 13:14:31.385,"Pine Siskin,Purple Finch"
38.805065,-77.23753,2022-12-01 14:55:13.449,"Pine Siskin,Purple Finch"
38.656754,-90.658775,2022-12-01 16:57:34.022,"Pine Siskin,Purple Finch"
44.931248,-93.23662,2022-12-01 17:39:21.310,"Pine Siskin,Purple Finch"
41.25161,-72.61868,2022-12-01 17:44:26.010,"Pine Siskin,Purple Finch"
41.25161,-72.61868,2022-12-01 17:44:29.850,"Pine Siskin,Purple Finch"
41.36461,-82.69016,2022-12-01 18:44:32.724,"Pine Siskin,Purple Finch"
48.001007,-122.26354,2022-12-01 19:45:22.976,"Pine Siskin,Purple Finch"
39.298145,-84.39132,2022-12-01 20:10:50.242,"Pine Siskin,Purple Finch"
38.391212,-85.51223,2022-12-01 21:04:30.061,"Pine Siskin,Purple Finch"
40.17776,-75.38263,2022-12-02 12:21:08.850,"Pine Siskin,Purple Finch"
40.36486,-74.07801,2022-12-02 12:44:21.882,"Pine Siskin,Purple Finch"
38.253258,-86.022026,2022-12-02 13:24:58.153,"Pine Siskin,Purple Finch"
42.214466,-83.44385,2022-12-02 14:40:50.137,"Pine Siskin,Purple Finch"
41.84248,-87.547485,2022-12-02 16:29:24.915,"Pine Siskin,Purple Finch"
41.84248,-87.547485,2022-12-02 16:35:36.402,"Pine Siskin,Purple Finch"
40.347126,-79.997086,2022-12-02 17:08:26.935,"Pine Siskin,Purple Finch"
39.788456,-85.950134,2022-12-02 17:08:56.943,"Pine Siskin,Purple Finch"
34.306213,-86.4338,2022-12-02 18:02:19.043,"Pine Siskin,Purple Finch"
34.306213,-86.4338,2022-12-02 18:02:19.923,"Pine Siskin,Purple Finch"
34.306213,-86.4338,2022-12-02 18:02:20.160,"Pine Siskin,Purple Finch"
34.306213,-86.4338,2022-12-02 18:02:20.468,"Pine Siskin,Purple Finch"
42.013115,-87.79812,2022-12-02 18:14:21.691,"Pine Siskin,Purple Finch"
38.685318,-77.175186,2022-12-02 18:59:53.744,"Pine Siskin,Purple Finch"
39.2806,-78.76287,2022-12-02 19:06:59.082,"Pine Siskin,Purple Finch"
38.971916,-121.524376,2022-12-02 20:06:20.278,"Pine Siskin,Purple Finch"
37.75247,-76.67924,2022-12-02 20:06:53.664,"Pine Siskin,Purple Finch"
38.789265,-77.16239,2022-12-02 20:20:21.611,"Pine Siskin,Purple Finch"
39.2806,-78.76287,2022-12-02 20:23:04.207,"Pine Siskin,Purple Finch"
39.2806,-78.76287,2022-12-02 20:23:04.245,"Pine Siskin,Purple Finch"
37.18381,-80.024895,2022-12-02 20:40:14.777,"Pine Siskin,Purple Finch"
41.73605,-88.23141,2022-12-02 20:51:57.681,"Pine Siskin,Purple Finch"
44.03843,-92.39863,2022-12-02 20:58:23.578,"Pine Siskin,Purple Finch"
43.19198,-87.9871,2022-12-02 21:09:18.135,"Pine Siskin,Purple Finch"
36.437115,-77.40855,2022-12-03 12:43:14.771,"Pine Siskin,Purple Finch"
40.15757,-74.76189,2022-12-03 13:18:20.605,"Pine Siskin,Purple Finch"
45.151253,-93.30091,2022-12-03 14:16:41.907,"Pine Siskin,Purple Finch"
45.151253,-93.30091,2022-12-03 14:16:48.986,"Pine Siskin,Purple Finch"
40.72361,-73.65673,2022-12-03 14:27:58.912,"Pine Siskin,Purple Finch"
43.130207,-73.62989,2022-12-03 14:46:46.909,"Pine Siskin,Purple Finch"
39.130333,-77.55523,2022-12-03 15:21:17.023,"Pine Siskin,Purple Finch"
41.605343,-93.41965,2022-12-03 17:06:24.299,"Pine Siskin,Purple Finch"
37.59395,-121.87463,2022-12-03 17:14:52.183,"Pine Siskin,Purple Finch"
37.59395,-121.87463,2022-12-03 17:14:52.591,"Pine Siskin,Purple Finch"
37.59395,-121.87463,2022-12-03 17:14:52.657,"Pine Siskin,Purple Finch"
39.11247,-123.12098,2022-12-03 17:34:47.915,"Pine Siskin,Purple Finch"
39.694103,-121.55689,2022-12-03 17:53:47.131,"Pine Siskin,Purple Finch"
40.371433,-73.94338,2022-12-03 18:21:41.108,"Pine Siskin,Purple Finch"
45.196568,-93.50141,2022-12-03 18:23:01.058,"Pine Siskin,Purple Finch"
32.96937,-117.14564,2022-12-03 18:28:21.152,"Pine Siskin,Purple Finch"
34.82305,-111.69271,2022-12-03 19:59:43.867,"Pine Siskin,Purple Finch"
34.82305,-111.69271,2022-12-03 19:59:49.385,"Pine Siskin,Purple Finch"
41.35268,-75.737366,2022-12-03 20:17:32.442,"Pine Siskin,Purple Finch"
33.77749,-84.348145,2022-12-03 20:18:51.469,"Pine Siskin,Purple Finch"
39.11247,-123.12098,2022-12-03 20:51:02.968,"Pine Siskin,Purple Finch"
40.714233,-75.282974,2022-12-04 12:27:11.845,"Pine Siskin,Purple Finch"
41.36461,-82.69016,2022-12-04 12:43:48.576,"Pine Siskin,Purple Finch"
