anonymized_latitude,anonymized_longitude,timestamp,species_name
42.05988837139036,-87.74041920120393,2023-02-02 14:35:43.043,"Red-Headed Woodpecker,Tufted Titmouse"
42.16566873774099,-72.67143635677333,2023-02-04 15:49:46.721,"Red-Headed Woodpecker,Tufted Titmouse"
40.77417087418424,-73.60597385789936,2023-02-06 13:44:58.831,"Red-Headed Woodpecker,Tufted Titmouse"
39.19648488837372,-76.72701931222201,2023-02-10 13:14:42.863,"Red-Headed Woodpecker,Tufted Titmouse"
39.29383790343174,-84.18022572236852,2023-02-10 17:15:18.014,"Red-Headed Woodpecker,Tufted Titmouse"
42.05988837139036,-87.74041920120393,2023-02-11 20:14:59.075,"Red-Headed Woodpecker,Tufted Titmouse"
40.0713989103292,-85.94778238439828,2023-02-14 13:10:46.231,"Red-Headed Woodpecker,Tufted Titmouse"
41.24527891298969,-73.77532212043671,2023-02-15 13:39:56.207,"Red-Headed Woodpecker,Tufted Titmouse"
41.16901748503772,-85.67065284266408,2023-02-15 14:39:43.230,"Red-Headed Woodpecker,Tufted Titmouse"
39.96028331136026,-74.02407153589822,2023-02-16 20:55:59.221,"Red-Headed Woodpecker,Tufted Titmouse"
40.27544095912373,-88.7789327925192,2023-02-17 18:49:38.738,"Red-Headed Woodpecker,Tufted Titmouse"
36.00578098928587,-78.67277884939116,2023-02-18 13:49:35.049,"Red-Headed Woodpecker,Tufted Titmouse"
40.70311600665758,-74.01667861915182,2023-02-18 20:14:15.712,"Red-Headed Woodpecker,Tufted Titmouse"
40.8809986407697,-73.22873671107811,2023-02-20 14:53:18.413,"Red-Headed Woodpecker,Tufted Titmouse"
37.38527972053086,-77.63169270673419,2023-02-22 16:43:23.806,"Red-Headed Woodpecker,Tufted Titmouse"
42.161234921737964,-71.70258674020488,2023-02-23 16:13:24.288,"Red-Headed Woodpecker,Tufted Titmouse"
39.077661050433015,-78.27363152329659,2023-02-25 15:47:17.421,"Red-Headed Woodpecker,Tufted Titmouse"
