anonymized_latitude,anonymized_longitude,timestamp,species_name
40.552326,-80.33905,2023-01-24 21:00:13.723,"Blue Jay,White-Throated Sparrow"
43.03696,-78.56288,2023-01-26 14:34:52.735,"Blue Jay,White-Throated Sparrow"
37.24067,-80.34572,2023-01-30 13:15:48.440,"Blue Jay,White-Throated Sparrow"
33.66101,-96.537544,2023-01-31 19:56:03.124,"Blue Jay,White-Throated Sparrow"
42.47727,-71.23723,2023-01-31 20:03:11.082,"Blue Jay,White-Throated Sparrow"
41.910408,-91.64231,2023-01-11 15:58:22.323,"Blue Jay,White-Throated Sparrow"
39.04651,-77.10993,2023-01-13 18:14:48.857,"Blue Jay,White-Throated Sparrow"
42.526917,-82.89843,2023-01-19 17:46:33.565,"Blue Jay,White-Throated Sparrow"
34.077538,-81.28824,2023-01-06 13:07:47.372,"Blue Jay,White-Throated Sparrow"
34.19163,-84.88979,2023-01-09 14:29:14.639,"Blue Jay,White-Throated Sparrow"
42.126183,-87.751465,2023-01-09 20:27:37.440,"Blue Jay,White-Throated Sparrow"
